wdt_ID,Heat,Image,Pepper,Min SHU,Max SHU,Median SHU,JalRP,JalRP Times Hotter/Milder,Type,Origin,Use,Flavor,Link
39,Medium,https://www.pepperscale.com/wp-content/uploads/2015/10/Espelette-Pepper-e1456801718623.jpeg,Espelette Pepper,500,4000,2250,0.43,-16 to 0,Annuum,France,Culinary,"Sweet, Fruity, Smoky",https://www.pepperscale.com/espelette-pepper
40,Medium,https://www.pepperscale.com/wp-content/uploads/2016/09/NuMex-Centennial.jpg,NuMex Centennial,1000,5000,3000,0.57,-5 to 0,Annuum,USA,Ornamental,"Bitter, Bright",https://www.pepperscale.com/numex-centennial
41,Medium,https://www.pepperscale.com/wp-content/uploads/2017/11/sangria-pepper.jpg,Sangria Pepper,1000,5000,3000,0.57,-5 to 0,Annuum,Unknown,Ornamental,Neutral,https://www.pepperscale.com/sangria-pepper
42,Medium,https://www.pepperscale.com/wp-content/uploads/2016/01/cherry-bomb-pepper_1.jpg,Cherry Bomb Pepper,2500,5000,3750,0.71,0,Annuum,USA,Culinary,Sweet,https://www.pepperscale.com/cherry-bomb-pepper
43,Medium,https://www.pepperscale.com/wp-content/uploads/2015/03/cowhorn-pepper-1.jpg,Cowhorn Pepper,2500,5000,3750,0.71,0,Annuum,South America,Culinary,Sweet,https://www.pepperscale.com/cowhorn-pepper
44,Medium,https://www.pepperscale.com/wp-content/uploads/2019/03/Guajillo-Pepper.jpg,Guajillo Pepper,2500,5000,3750,0.71,0,Annuum,Mexico,Culinary,"Tangy, Crisp, Smoky",https://www.pepperscale.com/guajillo-pepper
45,Medium,https://www.pepperscale.com/wp-content/uploads/2017/10/jalafuego-pepper-e1507590141227.jpg,Jalafuego Pepper,4000,6000,5000,0.95,0,Annuum,Mexico,Culinary,"Bright, Grassy",https://www.pepperscale.com/jalafuego-pepper
46,Medium,https://www.pepperscale.com/wp-content/uploads/2014/12/chimayo-pepper-1.jpg,Chimayo Pepper,4000,6000,5000,0.95,0,Annuum,USA,Culinary,"Smoky, Earthy",https://www.pepperscale.com/chimayo-pepper
47,Medium,https://www.pepperscale.com/wp-content/uploads/2016/03/Sandia-Pepper.jpg,Sandia Pepper,5000,7000,6000,1.14,0,Annuum,USA,Culinary,Sweet,https://www.pepperscale.com/sandia-pepper
48,Medium,https://www.pepperscale.com/wp-content/uploads/2014/10/hatch-pepper.jpeg,Hatch Pepper,1000,8000,4500,0.86,-3 to 0,Annuum,USA,Culinary,"Buttery, Earthy",https://www.pepperscale.com/hatch-peppers
49,Medium,https://www.pepperscale.com/wp-content/uploads/2019/05/jalapeño-varieties.jpg,Jalapeño Pepper,2500,8000,5250,1.00,0,Annuum,Mexico,Culinary,"Bright, Grassy",https://www.pepperscale.com/jalapeno-peppers
50,Medium,https://www.pepperscale.com/wp-content/uploads/2015/08/jalapeno-purple_lg.jpeg,Purple Jalapeño Pepper,2500,8000,5250,1.00,0,Annuum,Mexico,Culinary,"Bright, Sweet",https://www.pepperscale.com/purple-jalapeno-pepper
51,Medium,https://www.pepperscale.com/wp-content/uploads/2019/10/chipotle-pepper-nutrition.jpg,Chipotle Pepper,2500,8000,5250,1.00,0,Annuum,Mexico,Culinary,"Smoky, Earthy",https://www.pepperscale.com/chipotle-pepper
52,Medium,https://www.pepperscale.com/wp-content/uploads/2016/03/Puya-Pepper.jpg,Puya Pepper,5000,8000,6500,1.24,0,Annuum,Mexico,Culinary,"Sweet, Fruity, Bitter",https://www.pepperscale.com/puya-pepper
140,Medium,https://www.pepperscale.com/wp-content/uploads/2018/02/pretty-in-purple-pepper.jpg,Pretty in Purple pepper,4000,8000,6000,1.14,0,Annuum,USA,Ornamental,Neutral,https://www.pepperscale.com/pretty-in-purple-pepper/
53,Medium,https://www.pepperscale.com/wp-content/uploads/2014/11/fresno-pepper.jpg,Fresno Pepper,2500,10000,6250,1.19,0,Annuum,USA,Culinary,"Sweet, Fruity, Smoky",https://www.pepperscale.com/fresno-pepper
54,Medium,https://www.pepperscale.com/wp-content/uploads/2013/07/Hungarian-Wax-Pepper.jpeg,Hungarian Wax Pepper,5000,10000,7500,1.43,0 to 4,Annuum,Hungary,Culinary,"Sweet, Tangy",https://www.pepperscale.com/hungarian-wax-pepper
55,Medium,https://www.pepperscale.com/wp-content/uploads/2016/03/black-hungarian-pepper-1.jpg,Black Hungarian Pepper,5000,10000,7500,1.43,0 to 4,Annuum,Hungary,Culinary,Sweet,https://www.pepperscale.com/black-hungarian-pepper
56,Medium,https://www.pepperscale.com/wp-content/uploads/2015/02/aleppo-pepper_lg.jpg,Aleppo Pepper,10000,10000,10000,1.90,0 to 4,Annuum,Syria,Culinary,"Bright, Tart, Earthy, Salty",https://www.pepperscale.com/aleppo-pepper
57,Medium,https://www.pepperscale.com/wp-content/uploads/2014/11/peter-pepper_lg.jpg,Peter Pepper,10000,23000,16500,3.14,0 to 9,Annuum,USA,Culinary,"Bright, Sweet",https://www.pepperscale.com/peter-pepper
58,Medium,https://www.pepperscale.com/wp-content/uploads/2013/07/serrano-pepper.jpg,Serrano Pepper,10000,23000,16500,3.14,0 to 9,Annuum,Mexico,Culinary,"Bright, Grassy",https://www.pepperscale.com/serrano-peppers
59,Medium,https://www.pepperscale.com/wp-content/uploads/2016/04/Sport-Peppers.jpg,Sport Pepper,10000,23000,16500,3.14,0 to 9,Annuum,USA,Culinary,"Neutral, Tangy",https://www.pepperscale.com/sport-peppers
60,Medium,https://www.pepperscale.com/wp-content/uploads/2016/01/Bishops-Crown-Pepper-e1456687870144.jpg,Bishop's Crown Pepper,5000,30000,17500,3.33,0 to 12,Baccatum,South America,Culinary,"Sweet, Fruity",https://www.pepperscale.com/bishops-crown-pepper
61,Medium,https://www.pepperscale.com/wp-content/uploads/2017/04/Hinkelhatz-Pepper-e1491745061519.jpg,Hinkelhatz Pepper,5000,30000,17500,3.33,0 to 12,Annuum,USA,Culinary,Neutral,https://www.pepperscale.com/hinkelhatz-pepper
62,Medium,https://www.pepperscale.com/wp-content/uploads/2017/10/royal-black-pepper.jpg,Royal Black Pepper,5000,30000,17500,3.33,0 to 12,Annuum,Unknown,Ornamental,Neutral,https://www.pepperscale.com/royal-black-pepper
63,Medium,https://www.pepperscale.com/wp-content/uploads/2017/11/black-prince-pepper.jpg,Black Prince Pepper,5000,30000,17500,3.33,0 to 12,Annuum,Mexico,Ornamental,Neutral,https://www.pepperscale.com/black-prince-pepper
64,Medium,https://www.pepperscale.com/wp-content/uploads/2017/10/count-dracula-pepper.jpg,Count Dracula Pepper,5000,30000,17500,3.33,0 to 12,Annuum,Unknown,Ornamental,Neutral,https://www.pepperscale.com/count-dracula-pepper
65,Medium,https://www.pepperscale.com/wp-content/uploads/2014/12/bulgarian-carrot-pepper-2.jpg,Bulgarian Carrot Pepper,5000,30000,17500,3.33,0 to 12,Annuum,Hungary,Culinary,"Sweet, Fruity, Crisp",https://www.pepperscale.com/bulgarian-carrot-pepper
66,Medium,https://www.pepperscale.com/wp-content/uploads/2014/11/Fish-pepper_1.jpeg,Fish Pepper,5000,30000,17500,3.33,0 to 12,Annuum,USA,Culinary,Bright,https://www.pepperscale.com/fish-pepper
67,Medium,https://www.pepperscale.com/wp-content/uploads/2015/06/Bolivian-Rainbow-Pepper.jpg,Bolivian Rainbow Pepper,10000,30000,20000,3.81,4 to 12,Annuum,Bolivia,Ornamental,Neutral,https://www.pepperscale.com/bolivian-rainbow-pepper
68,Medium,https://www.pepperscale.com/wp-content/uploads/2014/10/black-pearl-pepper-1.jpg,Black Pearl Pepper,10000,30000,20000,3.81,4 to 12,Annuum,USA,Ornamental,Citrusy,https://www.pepperscale.com/black-pearl-pepper
69,Medium,https://www.pepperscale.com/wp-content/uploads/2015/03/manzano-pepper_lg.jpg,Manzano Pepper,12000,30000,21000,4.00,2 to 12,Pubescens,South America,Culinary,"Sweet, Citrusy",https://www.pepperscale.com/manzano-pepper
70,Medium,https://www.pepperscale.com/wp-content/uploads/2016/04/Japones-Pepper_1-e1461585980603.jpg,Japones Pepper,15000,30000,22500,4.29,2 to 12,Annuum,Japan,Culinary,Neutral,https://www.pepperscale.com/japones-pepper
71,Medium,https://www.pepperscale.com/wp-content/uploads/2014/10/lemon-drop-pepper_1.jpg,Lemon Drop Pepper,15000,30000,22500,4.29,2 to 12,Baccatum,Peru,Culinary,"Sweet, Fruity, Citrusy",https://www.pepperscale.com/lemon-drop-pepper
72,Medium,https://www.pepperscale.com/wp-content/uploads/2015/01/Chile_de_Arbol.jpg,Chile De Arbol,15000,30000,22500,4.29,2 to 12,Annuum,Mexico,Culinary,"Nutty, Smoky",https://www.pepperscale.com/chile-de-arbol
73,Medium,https://www.pepperscale.com/wp-content/uploads/2016/08/Jwala-Pepper.jpg,Jwala Pepper,20000,30000,25000,4.76,3 to 12,Annuum,India,Culinary,"Sweet, Fruity",https://www.pepperscale.com/jwala-pepper
142,Medium,https://www.pepperscale.com/wp-content/uploads/2017/12/inca-red-drop-pepper.jpg,Inca Red Drop Pepper,10000,30000,20000,3.81,2 to 12,Baccatum,Peru,Ornamental,"Fruity, Sweet",https://www.pepperscale.com/inca-red-drop-pepper/
143,Medium,https://www.pepperscale.com/wp-content/uploads/2017/12/aji-colorado_2.jpeg,Aji Colorado,20000,30000,25000,4.76,3 to 12,Baccatum,Peru,Culinary,"Fruity, Sweet",https://www.pepperscale.com/aji-colorado/
145,Medium,https://www.pepperscale.com/wp-content/uploads/2017/12/aji-pineapple_bg.jpg,Aji Pineapple,20000,30000,25000,4.76,3 to 12,Baccatum,Peru,Culinary,"Fruity, Sweet, Tropical",https://www.pepperscale.com/aji-pineapple/
146,Medium,https://www.pepperscale.com/wp-content/uploads/2017/11/little-elf-pepper.jpg,Little Elf Pepper,20000,30000,25000,4.76,3 to 12,Annuum,Hungary,Ornamental,Earthy,https://www.pepperscale.com/little-elf-pepper/
139,Medium,https://www.pepperscale.com/wp-content/uploads/2018/02/bode-pepper.jpeg,Bod'e Pepper,30000,32000,31000,5.90,4 to 13,Chinense,Brazil,Culinary,"Fruity, Sweet, Smoky",https://www.pepperscale.com/bode-pepper/
74,Medium,https://www.pepperscale.com/wp-content/uploads/2016/05/Black-Cobra-Pepper-1.jpg,Black Cobra Pepper,20000,40000,30000,5.71,3 to 16,Annuum,South America,Ornamental,"Neutral, Bitter",https://www.pepperscale.com/black-cobra-pepper
75,Medium,https://www.pepperscale.com/wp-content/uploads/2015/08/numex-twilight-1.jpg,NuMex Twilight,30000,50000,40000,7.62,4 to 20,Annuum,USA,Ornamental,"Salty, Bitter, Bright",https://www.pepperscale.com/numex-twilight
76,Medium,https://www.pepperscale.com/wp-content/uploads/2017/08/rooster-spur-pepper.jpg,Rooster Spur Pepper,30000,50000,40000,7.62,4 to 20,Annuum,USA,Ornamental,Peppery,https://www.pepperscale.com/rooster-spur-pepper
77,Medium,https://www.pepperscale.com/wp-content/uploads/2017/09/explosive-ember-pepper.jpg,Explosive Ember Pepper,30000,50000,40000,7.62,4 to 20,Annuum,Unknown,Ornamental,Sweet,https://www.pepperscale.com/explosive-ember-pepper
78,Medium,https://www.pepperscale.com/wp-content/uploads/2017/09/filius-blue-pepper.jpg,Filius Blue Pepper,30000,50000,40000,7.62,4 to 20,Annuum,Mexico,Ornamental,Neutral,https://www.pepperscale.com/filius-blue-pepper
79,Medium,https://www.pepperscale.com/wp-content/uploads/2017/08/aurora-pepper.jpg,Aurora Pepper,30000,50000,40000,7.62, 4 to 20,Annuum,Mexico,Ornamental,Neutral,https://www.pepperscale.com/aurora-pepper
80,Medium,https://www.pepperscale.com/wp-content/uploads/2015/05/aji-amarillo.jpeg,Aji Amarillo,30000,50000,40000,7.62,4 to 20,Baccatum,Peru,Culinary,"Sweet, Fruity, Tropical, Bright",https://www.pepperscale.com/aji-amarillo
81,Medium,https://www.pepperscale.com/wp-content/uploads/2016/08/Aji_charapita_lg.jpg,Aji Charapita,30000,50000,40000,7.62,4 to 20,Chinense,Peru,Culinary,"Sweet, Fruity",https://www.pepperscale.com/aji-charapita
82,Medium,https://www.pepperscale.com/wp-content/uploads/2016/08/Aji-Omnicolor-1.jpg,Aji Omnicolor,30000,50000,40000,7.62,4 to 20,Baccatum,Peru,Ornamental,"Fruity, Sweet",https://www.pepperscale.com/aji-omnicolor
83,Medium,https://www.pepperscale.com/wp-content/uploads/2013/07/tabasco-pepper-1.jpg,Tabasco Pepper,30000,50000,40000,7.62,4 to 20,Frutescens,Costa Rica,Culinary,Smoky,https://www.pepperscale.com/tabasco-pepper
84,Medium,https://www.pepperscale.com/wp-content/uploads/2019/07/Cayenne-Pepper.jpg,Cayenne Pepper,30000,50000,40000,7.62,4 to 20,Annuum,French Guyana,Culinary,Neutral,https://www.pepperscale.com/cayenne-pepper
85,Medium,https://www.pepperscale.com/wp-content/uploads/2015/11/super-chili-pepper_1.jpg,Super Chili Pepper,40000,50000,45000,8.57,5 to 20,Annuum,USA,Ornamental,Neutral,https://www.pepperscale.com/super-chili-pepper
137,Medium,https://www.pepperscale.com/wp-content/uploads/2019/11/satans-kiss-pepper.png,Satan's Kiss Pepper,40000,50000,45000,8.57,5 to 25,Annuum,Italy,Culinary,Neutral,https://www.pepperscale.com/satans-kiss-pepper/
